draw by threefold repitition | R7/8/8/2k5/8/7p/K6P/8 w - - 35 129
draw by threefold repitition | 6R1/8/8/8/8/8/4k3/6K1 w - - 21 176
white win | rn2kb1r/p1Np1pp1/bp2pB2/1Bp1N2p/3PP3/5Q2/PPP2PPP/4RRK1 b - - 8 13
white win | 2r1kQn1/p2b3r/1p2N3/1B2N2p/6PP/8/P1Rn4/6K1 b - - 0 37
white win | 2r2bnr/4p2p/1p2k1p1/pNpPNpB1/3PP3/1P1QR1P1/P4K1P/3R4 b - - 0 26
white win | 3k2nr/2pQ3p/br1b1qp1/pB1NN3/4PB2/3P4/PPP2PPP/R1KR4 b - - 0 26
white win | 4QR2/3R2P1/4k3/8/1p6/1p6/1P6/6K1 b - - 0 82
draw by threefold repitition | R7/8/8/8/3k4/8/K7/8 w - - 87 162
white win | n6R/p2p3k/3P4/P1P1BP2/3PP3/8/8/2R3K1 b - - 2 48
white win | rnR2Q2/p7/3kP3/1p1p4/6np/4R3/Pb5P/6K1 b - - 0 42
white win | 3rkbn1/p1N1p1pr/8/4N1p1/3PP1Pp/5q2/2Pn1R1P/1bR3K1 b - - 3 28
white win | rnbq1b1r/3p1Q2/1p3N1k/pBp1ppp1/3P1P2/2N4R/PPP3PP/3R2K1 b - - 1 18
white win | rnbqk1n1/1ppp1Qp1/p2b2r1/1B2N1Bp/3PP3/2N5/PPP2PPP/R4RK1 b q - 0 10
draw by threefold repitition | 1R4n1/5bb1/6pr/k5pp/8/8/7P/6K1 w - - 16 60
draw by threefold repitition | 8/3PP1k1/6b1/1B1N4/p7/7p/7P/4R1K1 b - - 17 71
draw by threefold repitition | R7/2PR4/8/8/6k1/8/8/1K6 b - - 44 172
white win | 1rbQk3/3p3r/1pp1q2b/pB1nN1B1/3PP2p/8/1PP2PPP/3RKR2 b - - 2 26
white win | rnb1k1nr/2pp1Q1p/1p4p1/pBb1N1B1/3PP3/2N5/PPP2PPP/4RRK1 b kq - 0 12
white win | 2b5/3p3R/1P6/2n1N3/6R1/6k1/8/6K1 b - - 2 98
draw by threefold repitition | r1b4r/3p3p/1p1B2p1/p1P4P/pP2R3/8/3k4/6K1 w - - 11 64
white win | 6n1/1P6/p5p1/1p4Bp/4R2P/3R3k/8/6K1 b - - 3 79
draw by threefold repitition | 8/8/k3N3/8/8/7p/K6P/8 w - - 45 133
50 game(s) computed in 1203543ms
alpha2--random 50 game(s) computed in 1232639ms
