white win | 1nb3kr/1r1pP1bp/pp1N4/1B1QN1B1/PPP3P1/8/8/4R1K1 b - - 2 26
white win | rnQ1kb1r/pp1p1ppp/4p3/1B4B1/3PPq2/5N2/PPP2PPP/R4RK1 b kq - 0 12
white win | rnbq1bnr/p2pk2p/1p4Q1/1BpNNp2/4P3/8/PPPP1PPP/R1B1K2R b KQ - 2 8
draw by threefold repitition | 2R1R3/8/8/3k3P/K7/8/8/8 w - - 9 108
white win | 2bk1Q2/3p3p/rp1QP1p1/pB6/PnPP4/4R3/7P/4R1K1 b - - 0 35
draw by 50 move rule | 1n6/6k1/3n4/8/8/1b6/1K6/8 w - - 100 190
white win | 3R2n1/5p1r/rpN4k/1P2PPQP/1b1P3P/pP6/8/4R1K1 b - - 4 36
black win | rnb1k1nr/1pp2ppp/4p3/p1bp4/4P3/5N2/PPPP1qPP/RNBQKB1R w Qkq - 0 7
white win | 1n2k2r/3pQp1p/6p1/1P2NPB1/r3b1P1/8/7P/4RRK1 b k - 0 20
white win | r1bk3r/1p2B3/p5pq/1BnN3p/3PPp2/P5P1/2P2P1n/R3R1K1 b - - 0 28
white win | r1bq1k1r/1p1pnQbp/2n2p2/pBp1N1B1/3PP3/2N5/PPP2PPP/R4RK1 b - - 4 10
white win | r1br4/1p2Q3/6k1/pBP2nB1/P1P2N1p/5K2/2P2P1P/b2R4 b - - 1 34
white win | 1rbqk1r1/1p1pbQ2/n4n2/pBp1N1Bp/3PP3/2N2P2/PPP2RPP/4R1K1 b - - 0 14
draw by threefold repitition | 6R1/2PP4/2PN4/3P3k/3BB1p1/6P1/8/1K6 b - - 12 90
white win | 2Q1kb1r/1pp2pp1/r1np3p/pB4B1/P2PPN2/8/1PP2n1P/2R1R1K1 b - - 0 21
black win | r7/pp1b1r2/n2pp3/1BPNP3/P1PN1n1k/5P2/6q1/5RK1 w - - 0 37
white win | rn2k1n1/p1pp1Q2/b7/1B1NN1Br/3PP2p/b7/PPP2PPP/4RRK1 b q - 0 13
draw by threefold repitition | 2R2R2/3P1Pk1/4R3/7p/7P/8/K7/8 b - - 12 108
white win | rnb1kbr1/p1N4p/1pqpP1p1/1B2N1Bn/P2QPP2/3R4/1PP4P/4R1K1 b q - 4 20
white win | Q1k2b2/8/1BP5/4N3/2P2P2/6P1/PKR5/3R4 b - - 0 74
white win | r2k1Q2/2bpq2p/b7/1Bp1N1B1/4P3/2NP4/1PP2PPP/5K1R b - - 8 24
white win | 4R1k1/1r6/1P1N1P2/P5P1/4B3/8/6K1/8 b - - 4 93
white win | 1n1b1Q2/1P1p3k/b2N2P1/1BP1N3/2P1P3/7p/3R3P/2KR4 b - - 0 51
white win | 1r1qkb1r/3bp2p/3N4/pB3p2/2p3p1/PP3NP1/1BPPQP1P/R1R3K1 b k - 0 14
white win | r1b1kr2/3nQp2/pp6/1BpP2Bp/3P4/6P1/PPP2PK1/2R1R3 b - - 0 26
50 game(s) computed in 1240353ms
